x,y
155328.032033413,508723.677641598
155326.684370694,508725.210914887
155325.031988558,508728.187519395
155325.017611149,508728.209825899
155322.357504239,508731.208736911
155322.031943703,508731.461315295
155319.916152358,508734.207647923
155319.031898849,508735.10184535
155316.633570308,508737.206558935
155316.031853994,508737.634977941
155313.162641667,508740.205469947
155313.031809139,508740.362740725
155310.851474716,508743.204380959
155310.031764284,508744.329691234
155308.132126471,508746.203291971
155307.922796196,508749.202202983
155307.03171943,508749.85043775
155304.031674575,508751.500204609
155302.958001277,508752.201113995
155301.03162972,508754.401849378
155300.465620425,508755.200025007
155299.065571117,508758.198936019
155298.031584865,508760.04648803
155297.019018444,508761.197847031
155295.03154001,508763.042665087
155293.700435696,508764.196758043
155292.031495156,508764.927718531
155289.077476748,508767.195669055
155289.031450301,508767.278263615
155287.838613817,508770.194580067
155286.839349792,508773.193491079
155286.031405446,508775.090081155
155285.587316436,508776.192402091
155284.121281174,508779.191313103
155283.031360591,508780.946632754
155281.203351845,508782.190224115
155280.031315736,508782.838902756
155277.653324873,508785.189135127
155277.031270882,508785.692923623
155274.085094773,508788.188046139
155274.031226027,508788.228766202
155271.031181172,508790.960902335
155270.786282708,508791.186957151
155268.031136317,508793.408670146
155267.117838017,508794.185868163
155265.031091463,508796.810507397
155264.477081563,508797.184779175
155262.031046608,508798.974949401
155259.979074544,508800.183690187
155259.031001753,508801.103530752
155258.071068019,508803.182601199
155256.635480753,508806.181512211
155256.030956898,508807.581708749
155254.102366625,508809.180423223
155253.030912043,508810.480983824
155250.232571347,508812.179334235
155250.030867189,508812.301751188
155247.030822334,508813.012589516
155245.331932289,508815.178245247
155244.030777479,508816.64810035
155243.363596692,508818.177156259
155242.250293513,508821.176067271
155241.081494482,508824.174978283
155241.030732624,508824.225061961
155238.03068777,508825.767572644
155236.439334804,508827.173889295
155235.030642915,508828.092581475
155232.915707997,508830.172800307
155232.03059806,508832.001999007
155231.414362838,508833.171711319
155229.030553205,508835.821129678
155228.237374585,508836.170622331
155226.03050835,508836.97829526
155223.030463496,508837.981816784
155222.317564136,508839.169533343
155223.030463496,508840.645181149
155223.82866488,508842.168444355
155223.030463496,508843.425136483
155221.874964529,508845.167355367
155220.030418641,508847.253209295
155219.081429246,508848.166266379
155217.030373786,508849.910703826
155215.922346636,508851.165177391
155214.030328931,508852.662154243
155211.030284076,508853.676630244
155210.241970879,508854.164088403
155208.030239222,508856.34114397
155206.664607152,508857.162999415
155205.030194367,508858.035342465
155202.030149512,508859.81297747
155201.724025149,508860.161910427
155200.334890013,508863.160821439
155199.030104657,508865.712697101
155198.862857478,508866.159732451
155196.678496724,508869.158643463
155196.030059803,508870.422207376
155195.103409545,508872.157554475
155193.569794861,508875.156465487
155193.030014948,508876.820158136
155192.461622195,508878.155376499
155190.33712333,508881.154287511
155190.029970093,508881.338509836
155187.029925238,508883.55541417
155186.347240837,508884.153198523
155184.029880383,508886.166758403
155181.029835529,508886.876087688
155180.662489056,508887.152109535
155178.151050094,508890.151020547
155178.029790674,508890.457795693
155176.75408638,508893.149931559
155175.029745819,508894.96938095
155172.029700964,508895.554592795
155171.415410693,508896.148842571
155170.391716372,508899.147753583
155169.493532647,508902.146664595
155169.02965611,508902.6332646
155166.029611255,508904.116897293
155164.005778956,508905.145575607
155163.0295664,508905.582520459
155161.323772041,508908.144486619
155160.029521545,508910.541516807
155159.404402653,508911.143397631
155157.364421456,508914.142308643
155157.02947669,508914.866733557
155155.848872478,508917.141219655
155154.029431836,508918.119837995
155151.185516567,508920.140130667
155151.029386981,508920.24517817
155148.029342126,508921.9515069
155146.759684479,508923.139041679
155145.029297271,508924.685172059
155143.043449336,508926.137952691
155142.029252416,508927.114493666
155139.792290561,508929.136863703
155139.029207562,508929.738297902
155136.029162707,508931.171201867
155135.069968834,508932.135774715
155135.758834041,508935.134685727
155133.029117852,508937.233673954
155132.301153994,508938.133596739
155130.029072997,508940.846085038
155129.814786987,508941.132507751
155127.029028143,508944.107946935
155127.000928286,508944.131418763
155124.028983288,508946.933791887
155123.831352378,508947.130329775
155121.836195861,508950.129240787
155121.028938433,508951.23031584
155119.231193212,508953.128151799
155118.028893578,508953.931752587
155115.504079277,508956.127062811
155115.028848723,508957.154010897
155114.103716294,508959.125973823
155112.028803869,508961.860052286
155111.893256924,508962.124884835
155109.957064765,508965.123795847
155109.028759014,508966.591124293
155107.185556971,508968.122706859
155106.028714159,508969.154934871
155103.888958265,508971.121617871
155103.028669304,508971.896716872
155101.015888116,508974.120528883
155100.02862445,508975.348659373
155098.789527433,508977.119439895
155097.028579595,508978.494883022
155094.02853474,508978.789832345
155091.522381213,508980.118350907
155091.028489885,508980.553972761
155089.020945615,508983.117261919
155088.02844503,508984.020274157
155086.479120096,508986.116172931
155085.028400176,508987.547346832
155082.028355321,508988.553945806
155081.32666744,508989.115083943
155079.092923635,508992.113994955
155079.028310466,508992.214410285
155077.172571836,508995.112905967
155076.028265611,508996.405418541
155074.078931948,508998.111816979
155073.028220757,508998.905956933
155070.822616108,509001.110727991
155070.028175902,509001.995503408
155068.022258262,509004.109639003
155067.028131047,509005.054677268
155065.32427558,509007.108550015
155064.028086192,509008.940400951
155063.113017593,509010.107461027
155061.65723299,509013.106372039
155061.028041337,509013.751805005
155058.027996483,509014.543218036
155055.027951628,509016.093892496
155054.989001916,509016.105283051
155052.027906773,509016.953192886
155050.438874627,509019.104194063
155049.027861918,509021.686762143
155048.704675863,509022.103105075
155049.027861918,509024.790409307
155049.098562325,509025.102016087
155049.027861918,509025.162682896
155046.027817063,509027.134003423
155044.754693787,509028.100927099
155043.823422152,509031.099838111
155043.027772209,509032.661614973
155040.027727354,509033.849761252
155039.380114171,509034.098749123
155038.362602459,509037.097660135
155037.880948011,509040.096571147
155037.027682499,509040.59563361
155034.027637644,509041.393657213
155032.160081316,509043.095482159
155031.02759279,509045.148119466
155030.207178809,509046.094393171
155028.027547935,509047.506582777
155026.064601201,509049.093304183
155025.02750308,509050.254060763
155023.682844364,509052.092215195
155022.027458225,509054.850149467
155021.93946388,509055.091126207
155020.785800627,509058.090037219
155019.358498153,509061.088948231
155019.02741337,509061.75401935
155016.027368516,509063.655249815
155015.525745256,509064.087859243
155013.027323661,509067.018232519
155012.984471379,509067.086770255
155011.043734963,509070.085681267
155010.027278806,509071.200401052
155008.142375195,509073.084592279
155007.027233951,509073.967793259
155005.047764259,509076.083503291
155004.027189097,509077.608302475
155003.047587364,509079.082414303
155001.027144242,509081.419233658
155000.073056461,509082.081325315
154998.027099387,509082.91125496
154995.091485771,509085.080236327
154995.027054532,509085.155459637
154992.027009677,509087.025752321
154989.026964823,509087.878471809
154988.799924547,509088.079147339
154986.191059646,509091.078058351
154986.026919968,509091.402759409
154984.855740376,509094.076969363
154984.083545132,509097.075880375
154983.026875113,509099.593566149
154982.644888993,509100.074791387
154980.026830258,509102.412367846
154978.994357213,509103.073702399
154977.026785403,509104.173792864
154974.358386065,509106.072613411
154974.026740549,509106.241387294
154971.026695694,509108.744295487
154970.439820228,509109.071524423
154968.026650839,509110.777005806
154966.802884423,509112.070435435
154965.75088664,509115.069346447
154965.026605984,509117.279981391
154964.525393714,509118.068257459
154962.02656113,509120.48424742
154961.137270521,509121.067168471
154959.026516275,509121.924003656
154956.02647142,509122.804334455
154954.297300077,509124.066079483
154953.026426565,509125.398067396
154951.327992664,509127.064990495
154950.02638171,509128.47962993
154948.995177674,509130.063901507
154947.026336856,509131.998211207
154944.35810127,509133.062812519
154944.026292001,509133.174575551
154941.026247146,509135.573229082
154940.531534939,509136.061723531
154938.026202291,509138.290902046
154936.566366042,509139.060634543
154935.026157437,509140.01420961
154934.21296012,509142.059545555
154933.071567034,509145.058456567
154932.026112582,509147.212440077
154930.563185093,509148.057367579
154929.026067727,509148.848455602
154926.026022872,509150.550186726
154925.460725065,509151.056278591
154923.025978017,509153.615722097
154922.643150946,509154.055189603
154920.025933163,509156.54550369
154919.542970814,509157.054100615
154918.10849732,509160.053011627
154917.025888308,509162.979523629
154916.968751935,509163.051922639
154914.025843453,509164.646872615
154911.886892368,509166.050833651
154911.025798598,509166.664060732
154908.997200713,509169.049744663
154908.025753743,509169.902400053
154905.025708889,509172.025809762
154905.005930913,509172.048655675
154902.708486681,509175.047566687
154902.025664034,509175.604312999
154899.264465617,509178.046477699
154899.025619179,509178.27229634
154896.566446238,509181.045388711
154896.025574324,509181.778009063
154894.40206617,509184.044299723
154893.409369457,509187.043210735
154893.02552947,509187.46901852
154890.025484615,509188.647393706
154887.762908541,509190.042121747
154887.02543976,509190.570044974
154884.896840144,509193.041032759
154884.025394905,509194.079449077
154881.79872876,509196.039943771
154881.02535005,509196.753974983
154878.212126894,509199.038854783
154878.025305196,509199.172085765
154875.524511492,509202.037765795
