tide,dates
-0.12694722,2019-04-01 17:45:00+00:00
-0.12593333,2019-04-01 18:00:00+00:00
-0.12693334,2019-04-01 18:15:00+00:00
-0.126225,2019-04-01 18:30:00+00:00
-0.124975,2019-04-01 18:45:00+00:00
-0.12676667,2019-04-01 19:00:00+00:00
-0.12565556,2019-04-01 19:15:00+00:00
-0.12691945,2019-04-01 19:30:00+00:00
-0.12532222,2019-04-01 19:45:00+00:00
-0.12771112,2019-04-01 20:00:00+00:00
-0.12715556,2019-04-01 20:15:00+00:00
-0.12865555,2019-04-01 20:30:00+00:00
-0.12782222,2019-04-01 20:45:00+00:00
-0.12601666,2019-04-01 21:00:00+00:00
-0.12419722,2019-04-01 21:15:00+00:00
-0.12337778,2019-04-01 21:30:00+00:00
-0.12116945,2019-04-01 21:45:00+00:00
-0.12264167,2019-04-01 22:00:00+00:00
-0.12598889,2019-04-01 22:15:00+00:00
-0.12682222,2019-04-01 22:30:00+00:00
-0.128975,2019-04-01 22:45:00+00:00
-0.12689167,2019-04-01 23:00:00+00:00
-0.12839167,2019-04-02 00:15:00+00:00
-0.12843333,2019-04-02 00:30:00+00:00
-0.12690556,2019-04-02 00:45:00+00:00
-0.12900278,2019-04-02 01:00:00+00:00
-0.12928055,2019-04-02 01:15:00+00:00
-0.128225,2019-04-02 01:30:00+00:00
-0.12743333,2019-04-02 01:45:00+00:00
-0.12787777,2019-04-02 02:00:00+00:00
-0.1256,2019-04-02 02:15:00+00:00
-0.12473889,2019-04-02 02:30:00+00:00
-0.12737778,2019-04-02 02:45:00+00:00
-0.12715556,2019-04-02 03:00:00+00:00
-0.1274611,2019-04-02 03:15:00+00:00
-0.12771112,2019-04-02 03:30:00+00:00
-0.12769723,2019-04-02 03:45:00+00:00
-0.12643333,2019-04-02 04:00:00+00:00
-0.12653056,2019-04-02 04:15:00+00:00
-0.12619722,2019-04-02 04:30:00+00:00
-0.12529445,2019-04-02 04:45:00+00:00
-0.121141665,2019-04-02 05:00:00+00:00
-0.12137778,2019-04-02 05:15:00+00:00
-0.12150278,2019-04-02 05:30:00+00:00
-0.12425278,2019-04-02 05:45:00+00:00
-0.1252111,2019-04-02 06:00:00+00:00
-0.12587778,2019-04-02 06:15:00+00:00
-0.12601666,2019-04-02 06:30:00+00:00
-0.12329444,2019-04-02 06:45:00+00:00
-0.12371111,2019-04-02 07:00:00+00:00
-0.122975,2019-04-02 07:15:00+00:00
-0.124773614,2019-04-02 07:30:00+00:00
-0.12441944,2019-04-02 07:45:00+00:00
-0.118475,2019-04-02 08:00:00+00:00
-0.11285,2019-04-02 08:15:00+00:00
-0.10954444,2019-04-02 08:30:00+00:00
-0.11161389,2019-04-02 08:45:00+00:00
-0.11689167,2019-04-02 09:00:00+00:00
-0.121225,2019-04-02 09:15:00+00:00
-0.12907222,2019-04-02 09:30:00+00:00
-0.12761389,2019-04-02 09:45:00+00:00
-0.124641664,2019-04-02 10:00:00+00:00
-0.123002775,2019-04-02 10:15:00+00:00
-0.11879444,2019-04-02 10:30:00+00:00
-0.1141,2019-04-02 10:45:00+00:00
-0.11839167,2019-04-02 11:00:00+00:00
-0.12218333,2019-04-02 11:15:00+00:00
-0.12196111,2019-04-02 11:30:00+00:00
-0.116961114,2019-04-02 11:45:00+00:00
-0.11593334,2019-04-02 12:00:00+00:00
-0.11461389,2019-04-02 12:15:00+00:00
-0.10982222,2019-04-02 12:30:00+00:00
-0.10848889,2019-04-02 12:45:00+00:00
-0.11029445,2019-04-02 13:00:00+00:00
-0.10948889,2019-04-02 13:15:00+00:00
-0.10821111,2019-04-02 13:30:00+00:00
-0.10090555,2019-04-02 13:45:00+00:00
-0.09946111,2019-04-02 14:00:00+00:00
-0.11035,2019-04-02 14:15:00+00:00
-0.10575278,2019-04-02 14:30:00+00:00
-0.10728055,2019-04-02 14:45:00+00:00
-0.113461114,2019-04-02 15:00:00+00:00
-0.11186389,2019-04-02 15:15:00+00:00
-0.11921111,2019-04-02 15:30:00+00:00
